ord,emm,mun,yr,dextra,edon,inegi,ife,part,dmujer,incumbent,race.after,runnerup,part2nd,mg,ddied,drepe,drepg,dlegacy,who,prior.inc.part,inc.part.after,notes,source
14586,pue-13.054,CHIGNAUTLA,2007,0,21,21054,21055,pec,0,LEONIDES RODRIGUEZ BAUTISTA,Term-limited-p-lost,,pri-pvem,0.018953168,0,0,0,,,incumbent out,incumbent out,,
14587,pue-14.054,CHIGNAUTLA,2010,0,21,21054,21055,pan-prd-pna,0,CONSTANTINO APARICIO ISIDRO,Term-limited-p-lost,,pri-pvem,0.153815854,0,0,0,,,incumbent out,incumbent out,,
14588,pue-15.054,CHIGNAUTLA,2013,0,21,21054,21055,pri-pvem,0,ARTURO CORDOVA RUIZ,Term-limited-p-won,,pan-prd-pna,0.112112768,0,0,0,,,incumbent out,incumbent out,,
14589,pue-16.054,CHIGNAUTLA,2018,0,21,21054,21055,pri,1,LUCIANA APARICIO RODRIGO,Out-p-lost,,mc-pcpp,0.14527878,0,0,0,,,incumbent out,incumbent out,,
14590,pue-17.054,CHIGNAUTLA,2021,0,21,21054,21055,mc-psi,0,AARON BONILLA PAULINO,Reran-beaten,,pt-morena-pcpp,0.02069797,0,,,,,incumbent out,2024,,
14591,pue-18.054,CHIGNAUTLA,2024,0,21,21054,21055,pna-fxm,0,JUAN TORAL RAMOS,2027,ISIDRO JULIAN SANTOS,pri,0.064,,,,,,,,,
14596,pue-11.055,CHILA,2001,0,21,21055,21056,prd,0,ANTONIO TOBON CRESPO,Term-limited-p-lost,,pri,0.127354936,0,0,0,,,incumbent out,incumbent out,,
14597,pue-12.055,CHILA,2004,0,21,21055,21056,pri,0,JOSE JUAN LOYOLA TOBON,Term-limited-p-won,,prd,0.094553377,0,0,0,,,incumbent out,incumbent out,,
14598,pue-13.055,CHILA,2007,0,21,21055,21056,pri-pvem,0,EMIGDIO ALEJANDRO TRIJILLO RIOS,Term-limited-p-won,,prd-conve,0.045734389,0,0,0,,,incumbent out,incumbent out,,
14599,pue-14.055,CHILA,2010,0,21,21055,21056,pri-pvem,0,JESUS MEZA LOYOLA,Term-limited-p-won,,pan-prd-pna,0.122990354,0,0,0,,,incumbent out,incumbent out,,
14600,pue-15.055,CHILA,2013,0,21,21055,21056,pri-pvem,0,MANUEL LOYOLA TOBON,Term-limited-p-lost,,pan-prd-pna,0.01712204,0,0,0,,,incumbent out,incumbent out,,
14601,pue-16.055,CHILA,2018,0,21,21055,21056,pan-prd-psi,0,VICTOR QUIJADA FLORES,Out-p-won,,pri,0.160202972,0,0,0,,,incumbent out,incumbent out,,
14602,pue-17.055,CHILA,2021,0,21,21055,21056,prd,1,CARMELO ENRIQUEZ PONCE,Out-p-lost,BELEM TRUJILLO MACHADO,pri,0.012680521,0,,,,,incumbent out,2024,,
14603,pue-18.055,CHILA,2024,0,21,21055,21056,pt-morena,1,MARIA TERESA ROSAS ANDRADE,2027,BELEM TRUJILLO MACHADO,pri,0.1195,,,,,,,,,
14608,pue-11.056,CHILA DE LA SAL,2001,0,21,21056,21057,pri,0,JOSE MENDOZA VISOSO,Term-limited-p-won,,0,1,0,0,0,,,incumbent out,incumbent out,,
14609,pue-12.056,CHILA DE LA SAL,2004,0,21,21056,21057,pri,0,LEONIDES ASUNCION VAZQUEZ VAZQUEZ,Term-limited-p-lost,,pan,0.244992296,0,0,0,,,incumbent out,incumbent out,,
14610,pue-13.056,CHILA DE LA SAL,2007,0,21,21056,21057,pan,0,MIGUEL PONCE CHAVEZ,Term-limited-p-lost,,pri-pvem,0.102941177,0,0,0,,,incumbent out,incumbent out,,
14611,pue-14.056,CHILA DE LA SAL,2010,0,21,21056,21057,pri-pvem,0,BIANEY TELLEZ HERREROS,Term-limited-p-lost,,pan-prd-pna,0.019836639,0,0,0,,,incumbent out,incumbent out,,
14612,pue-15.056,CHILA DE LA SAL,2013,0,21,21056,21057,pan-prd-pna,0,JOSE MONGE CAZARES,Term-limited-p-lost,,pri-pvem,0.016835017,0,0,0,,,incumbent out,incumbent out,,
14613,pue-16.056,CHILA DE LA SAL,2018,0,21,21056,21057,pri,0,BIANEY TELLEZ HERREROS,Reran-beaten,,pt-morena-pes,0.189247312,0,1,1,,,incumbent out,pri,,
14614,pue-17.056,CHILA DE LA SAL,2021,0,21,21056,21057,pt-psi,0,CELSO HERREROS AMIGON,Out-p-lost,,pri,0.048648649,0,,,,,pri,2024,,
14615,pue-18.056,CHILA DE LA SAL,2024,0,21,21056,21057,morena,0,FERNANDO AMIGON ROMERO,2027,PEDRO GARCIA MENDOZA,pvem,0.0523,,,,,,,,,
14620,pue-11.057,HONEY,2001,0,21,21057,21058,pri,0,FELIX CERCAS MANILLA,Term-limited-p-won,,pan,0.05165456,0,0,0,,,incumbent out,incumbent out,,
14621,pue-12.057,HONEY,2004,0,21,21057,21058,pri,0,SALVADOR APARICIO OLVERA,Term-limited-p-lost,,pan,0.134818288,0,0,0,,,incumbent out,incumbent out,,
14622,pue-13.057,HONEY,2007,0,21,21057,21058,pan,0,MARCO ANTONIO MIRANDA ZAMORANO,Term-limited-p-won,,pri-pvem,0.069129481,0,0,0,,,incumbent out,incumbent out,,
14623,pue-14.057,HONEY,2010,0,21,21057,21058,pan-prd-pna,0,GONZALO IBARRA GONZALEZ,Term-limited-p-lost,,pri-pvem,0.022235948,0,0,0,,,incumbent out,incumbent out,,
14624,pue-15.057,HONEY,2013,0,21,21057,21058,pri-pvem,0,CIRILO LOPEZ SANTOS,Term-limited-p-won,,pan-prd-pna,0.150565938,0,0,0,,,incumbent out,incumbent out,,
14625,pue-16.057,HONEY,2018,0,21,21057,21058,pri,0,ANGEL LOPEZ CABRERA,Out-p-lost,,pan-prd,0.088,0,0,0,,,incumbent out,incumbent out,,
14626,pue-17.057,HONEY,2021,0,21,21057,21058,pvem,0,TEODOCIO ESTEBAN CERCAS FRANCO,Out-p-lost,ERICA IBARRA VARGAS,pri-pcpp,0.026949987,0,,,,,incumbent out,2024,,
14627,pue-18.057,HONEY,2024,0,21,21057,21058,mc,0,FELIX CERCAS MANILLA,2027,FILIBERTO RICAÑO HURTADO,pan-pri-prd,0.0353,,,,,,,,,
14632,pue-11.058,CHILCHOTLA,2001,0,21,21058,21059,pan,0,PABLO ANGEL HIPATL JIMAREZ,Term-limited-p-lost,,pri,0.096054422,0,0,0,,,incumbent out,incumbent out,,
14633,pue-12.058,CHILCHOTLA,2004,0,21,21058,21059,pri,0,CELERINO FABIAN MEDEL,Term-limited-p-lost,,pan,0.174495378,0,0,0,,,incumbent out,incumbent out,,
14634,pue-13.058,CHILCHOTLA,2007,0,21,21058,21059,pan,0,ERMEREGILDO BENITO LUNA RUIZ,Term-limited-p-lost,,pri-pvem,0.065429849,0,0,0,,,incumbent out,incumbent out,,
14635,pue-14.058,CHILCHOTLA,2010,0,21,21058,21059,pri-pvem,1,HERMINIA JIMENEZ MARTINEZ,Term-limited-p-lost,,pan-prd-pna,0.09316681,0,0,0,,,incumbent out,incumbent out,,
14636,pue-15.058,CHILCHOTLA,2013,0,21,21058,21059,pt,0,VALENTIN MEDEL HERNANDEZ,Term-limited-p-lost,,pri-pvem,0.055223683,0,0,0,,,incumbent out,incumbent out,,
14637,pue-16.058,CHILCHOTLA,2018,0,21,21058,21059,pan-pcpp,0,VALERIANO FILOMENO HERNANDEZ ORTIZ,Reran-beaten,,mc,0.138803135,0,0,0,,,incumbent out,pan,,
14638,pue-17.058,CHILCHOTLA,2021,0,21,21058,21059,mc,0,FERNANDO AMBROSIO PERALTA,Reran-beaten,,pan,0.070200427,0,,,,,pan,2024,,
14639,pue-18.058,CHILCHOTLA,2024,0,21,21058,21059,pvem,0,MIGUEL ARGUELLO SANDOVAL,2027,ROSARIO NANCO TENTLE,psi,0.1087,,,,,,,,,
14644,pue-11.059,CHINANTLA,2001,0,21,21059,21060,pan,0,ARIEL EDGAR TAPIA SIMON,Term-limited-p-won,,pri,0.126582279,0,0,0,,,incumbent out,incumbent out,,
14645,pue-12.059,CHINANTLA,2004,0,21,21059,21060,pan,0,AARON DOMINGUEZ VARGAS,Term-limited-p-lost,,pri,0.247058824,0,0,0,,,incumbent out,incumbent out,,
14646,pue-13.059,CHINANTLA,2007,0,21,21059,21060,pri-pvem,0,ERNESTO LEYVA CORDOVA,Term-limited-p-lost,,pan,0.001776199,0,0,0,,,incumbent out,incumbent out,,
14647,pue-14.059,CHINANTLA,2010,0,21,21059,21060,pan-prd-pna,0,NICEFORO FIGUEROA GOMEZ,Term-limited-p-won,,pri-pvem,0.240148699,0,0,0,,,incumbent out,incumbent out,,
14648,pue-15.059,CHINANTLA,2013,0,21,21059,21060,pan-prd-pna,0,JOSE LUIS GONZALEZ ENRIQUEZ,Term-limited-p-lost,,pri-pvem,0.01175657,0,0,0,,,incumbent out,incumbent out,,
14649,pue-16.059,CHINANTLA,2018,0,21,21059,21060,pri,0,ARTURO CRUZ GARCIA,Out-p-won,,pan-psi,0.134736842,0,0,0,,,incumbent out,incumbent out,,
14650,pue-17.059,CHINANTLA,2021,0,21,21059,21060,pri,1,MARIA AZUCENA ZAFRA CHINO,Reran-beaten,,pan,0.07173913,0,,,,,incumbent out,2024,,
14651,pue-18.059,CHINANTLA,2024,0,21,21059,21060,morena-fxm,1,MARIA DEL CARMEN DOMINGUEZ FORTOZO,2027,ELVIA RAMOS CALOCA,psi,0.0826,,,,,,,,,
14656,pue-11.060,DOMINGO ARENAS,2001,0,21,21060,21061,pri,0,ALVARO BOTELLO MUNIVE,Term-limited-p-won,,prd,0.447712418,0,0,0,,,incumbent out,incumbent out,,
14657,pue-12.060,DOMINGO ARENAS,2004,0,21,21060,21061,pri,0,GABINO OSORIO ZAMORA,Term-limited-p-lost,,prd,0.134234669,0,0,0,,,incumbent out,incumbent out,,
14658,pue-13.060,DOMINGO ARENAS,2007,0,21,21060,21061,prd-conve,0,MAURO GIL DE LA ROSA,Term-limited-p-lost,,pri-pvem,0.110410095,0,0,0,,,incumbent out,incumbent out,,
14659,pue-14.060,DOMINGO ARENAS,2010,0,21,21060,21061,pri-pvem,1,NEFTALINA HERNANDEZ MEJIA,Term-limited-p-lost,,pan-prd-pna,0.177282851,0,0,0,,,incumbent out,incumbent out,,
14660,pue-15.060,DOMINGO ARENAS,2013,0,21,21060,21061,pan-prd-pna,0,ALFREDO FRANCISCO MENESES MUÑOZ,Term-limited-p-lost,,pri-pvem,0.005211953,0,0,0,,,incumbent out,incumbent out,,
14661,pue-16.060,DOMINGO ARENAS,2018,0,21,21060,21061,indep,0,JAVIER MENESES CONTRERAS,Reran-beaten,,pan-prd-mc,0.252057905,0,0,0,,,incumbent out,indep,,
14662,pue-17.060,DOMINGO ARENAS,2021,0,21,21060,21061,pna,0,ROSALIO TLACOMULCO DEMETRIO,Out-p-won,,pan-prd,0.174034695,0,,,,,indep,2024,,
14663,pue-18.060,DOMINGO ARENAS,2024,0,21,21060,21061,pna,0,ALVARO BOTELLO MUNIVE,2027,SERGIO GARCIA NIETO,prd,0.0671,,,,,,,,,
14668,pue-11.061,ELOXOCHITLAN,2001,0,21,21061,21062,pri,0,JUAN TRUJILLO MARTINEZ,Term-limited-p-lost,,prd,0.040950812,0,0,0,,,incumbent out,incumbent out,,
14669,pue-12.061,ELOXOCHITLAN,2004,0,21,21061,21062,prd,0,RUBEN GONZALEZ SANCHEZ,Term-limited-p-lost,,pri,0.029448779,0,0,0,,,incumbent out,incumbent out,,
14670,pue-13.061,ELOXOCHITLAN,2007,0,21,21061,21062,pri-pvem,0,LEONCIO GONZALEZ MENDOZA,Term-limited-p-won,,pan,0.187273888,0,0,0,,,incumbent out,incumbent out,,
14671,pue-14.061,ELOXOCHITLAN,2010,0,21,21061,21062,pri-pvem,0,FEDERICO NERI MONTALVO,Term-limited-p-won,,pan-prd-pna,0.185862866,0,0,0,,,incumbent out,incumbent out,,
14672,pue-15.061,ELOXOCHITLAN,2013,0,21,21061,21062,pri-pvem,0,DELFINO HERNANDEZ HERNANDEZ,Term-limited-p-lost,,pan-prd-pna,0.213088587,0,0,0,,,incumbent out,incumbent out,,
14673,pue-16.061,ELOXOCHITLAN,2018,0,21,21061,21062,pan-prd-mc-psi,0,HONOR HERNANDEZ HERNANDEZ,Out-p-lost,,pri-pna,0.189908131,0,0,0,1,hermano de delfino,incumbent out,incumbent out,,
14674,pue-17.061,ELOXOCHITLAN,2021,0,21,21061,21062,pt,0,DELFINO HERNANDEZ HERNANDEZ,Reelected,,morena,0.399545325,0,1,1,,,incumbent out,2024,,
14675,pue-18.061,ELOXOCHITLAN,2024,0,21,21061,21062,pt,0,DELFINO HERNANDEZ HERNANDEZ,Term-limited-2027,JESUS ATLAHUA ARRILLAGA,morena,0.2313,,,,,,,,,
14680,pue-11.062,EPATLAN,2001,0,21,21062,21063,pri,0,MIGUEL JERONIMO GUZMAN SANCHEZ,Term-limited-p-lost,,pan,0.099539701,0,0,0,,,incumbent out,incumbent out,,
14681,pue-12.062,EPATLAN,2004,0,21,21062,21063,pan,0,EDUARDO SALVADOR FLORES HERNANDEZ,Term-limited-p-lost,,pri,0.015306122,0,0,0,,,incumbent out,incumbent out,,
14682,pue-13.062,EPATLAN,2007,0,21,21062,21063,pri-pvem,0,NORBERTO FUENTES GIL,Term-limited-p-won,,pan,0.100150225,0,0,0,,,incumbent out,incumbent out,,
14683,pue-14.062,EPATLAN,2010,0,21,21062,21063,pri-pvem,0,CLEMENTE ANDRES LEZAMA CASTILLA,Term-limited-p-lost,,pan-prd-pna,0.027570094,0,0,0,,,incumbent out,incumbent out,,
14684,pue-15.062,EPATLAN,2013,0,21,21062,21063,pan-prd-pna,0,ARTURO ISMAEL BRAVO SANTAMARIA,Term-limited-p-lost,,pri-pvem,0.032665182,0,0,0,,,incumbent out,incumbent out,,
14685,pue-16.062,EPATLAN,2018,0,21,21062,21063,mc,1,MARGARITA CASTILLA GARCIA,Out-p-lost,,pan-prd-pcpp-psi,0.024907063,0,0,0,,,incumbent out,incumbent out,,
14686,pue-17.062,EPATLAN,2021,0,21,21062,21063,pan-prd,1,ALICIA VARGAS MELO,Out-p-lost,,morena,0.092783505,0,,,,,incumbent out,2024,,
14687,pue-18.062,EPATLAN,2024,0,21,21062,21063,morena-fxm,0,RAUL MERINO BADILLO,2027,MERCEDES GARCIA ORTEGA,pan-pri,0.1248,,,,,,,,,
14692,pue-11.063,ESPERANZA,2001,0,21,21063,21064,pri,0,BERNARDO VARILLAS RAMIREZ,Term-limited-p-won,,prd,0.18913531,0,0,0,,,incumbent out,incumbent out,,
14693,pue-12.063,ESPERANZA,2004,0,21,21063,21064,pri,0,VICTOR HUERTA MORALES,Term-limited-p-won,,prd,0.034002458,0,0,0,,,incumbent out,incumbent out,,
14694,pue-13.063,ESPERANZA,2007,0,21,21063,21064,pri-pvem,0,ALFREDO MUÑOZ MORALES,Term-limited-p-lost,,pna,0.072580645,0,0,0,,,incumbent out,incumbent out,,
14695,pue-14.063,ESPERANZA,2010,0,21,21063,21064,pan-prd-pna,0,FIDEL ARCOS RAMIREZ,Term-limited-p-won,,pri-pvem,0.016971938,0,0,0,,,incumbent out,incumbent out,,
14696,pue-15.063,ESPERANZA,2013,0,21,21063,21064,mc,0,EDUARDO BAROJAS HUERTA,Term-limited-p-lost,,pan-prd-pna,0.088771116,0,0,0,,,incumbent out,incumbent out,,
14697,pue-16.063,ESPERANZA,2018,0,21,21063,21064,pna-pcpp,0,CARLOS ALBERTO OLIVIER PACHECO,Reran-beaten,,pan-prd-mc,0.24697681,0,0,0,,,incumbent out,prd-pna,,
14698,pue-17.063,ESPERANZA,2021,0,21,21063,21064,morena,0,ISAAC RODRIGUEZ OCHOA,Reelected,,prd-pna,0.097359257,0,,,,,prd-pna,2024,,
14699,pue-18.063,ESPERANZA,2024,0,21,21063,21064,morena,0,ISAAC RODRIGUEZ OCHOA,Term-limited-2027,FELIPE DE JESUS MORALES LECHUGA,pan-pri-psi,0.5892,,,,,,,,,
14704,pue-11.064,FRANCISCO Z. MENA,2001,0,21,21064,21065,pri,0,JACOBO EMILIO GARCIA SOLIS,Term-limited-p-won,,pan,0.04748062,0,1,1,,,incumbent out,incumbent out,,
14705,pue-12.064,FRANCISCO Z. MENA,2004,0,21,21064,21065,pri,0,ADRIAN BONILLA CRUZ,Term-limited-p-lost,,pan,0.046387714,0,0,0,,,incumbent out,incumbent out,,
14706,pue-13.064,FRANCISCO Z. MENA,2007,0,21,21064,21065,prd-conve,0,MARCIANO HERNANDEZ HERNANDEZ,Term-limited-p-lost,,pri-pvem,0.085702224,0,0,0,,,incumbent out,incumbent out,,
14707,pue-14.064,FRANCISCO Z. MENA,2010,0,21,21064,21065,pri-pvem,0,GUSTAVO MARTIN GOMEZ ALVAREZ,Term-limited-p-lost,,pan-prd-pna,0.107115035,0,0,0,,,incumbent out,incumbent out,,
14708,pue-15.064,FRANCISCO Z. MENA,2013,0,21,21064,21065,pan-prd-pna,0,VICTOR VARGAS GARCIA,Term-limited-p-lost,,pri-pvem,0.161669998,0,0,0,,,incumbent out,incumbent out,,
14709,pue-16.064,FRANCISCO Z. MENA,2018,0,21,21064,21065,pt-morena-pes,0,PASCUAL MORALES MARTINEZ,Out-p-lost,,pan-prd-mc-pcpp,0.049792089,0,0,0,,,incumbent out,incumbent out,,
14710,pue-17.064,FRANCISCO Z. MENA,2021,0,21,21064,21065,pan-prd,0,GILDARDO VARGAS GARCIA,Out-p-won,,morena,0.145606884,0,,,,,incumbent out,2024,,
14711,pue-18.064,FRANCISCO Z. MENA,2024,0,21,21064,21065,pan-pri-prd,0,VICTOR VARGAS GARCIA,2027,GEMA IDANIA MEJIA SANTAMARIA,pt-morena,0.0128,,,,,,,,,
14716,pue-11.065,GENERAL FELIPE ANGELES,2001,0,21,21065,21066,pri,0,ANSELMO ALEJANDRO HUERTA DONADO,Term-limited-p-won,,prd,0.143181349,0,0,0,,,incumbent out,incumbent out,,
14717,pue-12.065,GENERAL FELIPE ANGELES,2004,0,21,21065,21066,pri,0,MARIO HERNANDEZ DIAZ,Term-limited-p-lost,,pan,0.132709251,0,0,0,,,incumbent out,incumbent out,,
14718,pue-13.065,GENERAL FELIPE ANGELES,2008,1,21,21065,21066,pan,0,CECILIO JAVIER REDUCINDO DONADO,Term-limited-p-won,,pri,0.016333137,0,0,0,,,incumbent out,incumbent out,,
14719,pue-14.065,GENERAL FELIPE ANGELES,2010,0,21,21065,21066,pan-prd-pna,0,ANGEL FRANCISCO REYES DOMINGUEZ,Term-limited-p-lost,,pri-pvem,0.025468062,0,0,0,,,incumbent out,incumbent out,,
14720,pue-15.065,GENERAL FELIPE ANGELES,2013,0,21,21065,21066,psi,0,LEONARDO GOMEZ OCTAVIANO,Term-limited-p-lost,,mc,0.097888976,0,0,0,,,incumbent out,incumbent out,,
14721,pue-16.065,GENERAL FELIPE ANGELES,2018,0,21,21065,21066,pt-morena-pes,0,MIGUEL ANGEL ANTONIO VAZQUEZ,Dead-p-lost,,pri,0.045780166,1,0,0,,,incumbent out,incumbent out,Died covid19 24aug2020,
14722,pue-17.065,GENERAL FELIPE ANGELES,2021,0,21,21065,21066,fxm,0,SILVINO REYES DE LA LUZ,Reran-beaten,,psi,0.002293578,0,,,,,incumbent out,2024,,
14723,pue-18.065,GENERAL FELIPE ANGELES,2024,0,21,21065,21066,pt-pvem-morena,0,JAVIER DE JESUS VERA,2027,GABRIEL ANTONIO VAZQUEZ,pan-pri-prd,0.1551,,,,,,,,,
14728,pue-11.066,GUADALUPE,2001,0,21,21066,21067,pri,0,REGINALDO HERIBERTO REYES GUZMAN,Term-limited-p-won,,conve,0.099180681,0,0,0,,,incumbent out,incumbent out,,
14729,pue-12.066,GUADALUPE,2004,0,21,21066,21067,pri,0,REBELINO ALEJANDRO HERRERA MARTINEZ,Term-limited-p-won,,pan,0.164444444,0,0,0,,,incumbent out,incumbent out,,
14730,pue-13.066,GUADALUPE,2007,0,21,21066,21067,pri-pvem,0,FRANCISCO OTHON HERRERA LUCERO,Term-limited-p-lost,,prd-conve,0.289338235,0,0,0,,,incumbent out,incumbent out,,
14731,pue-14.066,GUADALUPE,2010,0,21,21066,21067,pan-prd-pna,0,ROMARICO GARCIA BARRALES,Term-limited-p-won,,pri-pvem,0.161998267,0,0,0,,,incumbent out,incumbent out,,
14732,pue-15.066,GUADALUPE,2013,0,21,21066,21067,pan-prd-pna,0,SANDALIO HONORIO CARIÑO MARTINEZ,Term-limited-p-lost,,pri-pvem,0.029955207,0,0,0,,,incumbent out,incumbent out,,
14733,pue-16.066,GUADALUPE,2018,0,21,21066,21067,pri,0,REBELINO ALJANDRO HERRERA MARTINEZ,Out-p-won,,pan-prd-psi,0.06149036,0,0,0,,,incumbent out,incumbent out,,
14734,pue-17.066,GUADALUPE,2021,0,21,21066,21067,pri,1,ANAI YOSENIA HERRERA MARTINEZ,Reelected-dif-p,,pan-prd,0.041655541,0,,,,,incumbent out,2024,reran as morena and won,
14735,pue-18.066,GUADALUPE,2024,0,21,21066,21067,pvem-morena,1,ANAI YOSENIA HERRERA MARTINEZ,Term-limited-2027,GUADALUPE ANSELMA GARCIA LAZARO,pan-pri-prd,0.0916,,,,,,,,,
14740,pue-11.067,GUADALUPE VICTORIA,2001,0,21,21067,21068,pan,0,JOSE GUILLERMO FUENTES ORTIZ,Term-limited-p-lost,,pri,0.050838968,0,0,0,,,incumbent out,incumbent out,,
14741,pue-12.067,GUADALUPE VICTORIA,2004,0,21,21067,21068,pri,0,GUALBERTO BURGOS GOMEZ,Term-limited-p-lost,,pan,0.000214179,0,1,1,,,incumbent out,incumbent out,,
14742,pue-13.067,GUADALUPE VICTORIA,2007,0,21,21067,21068,pan,0,JOSE ALEJANDRO O CORTES GOMEZ,Term-limited-p-won,,pri-pvem,0.171649856,0,0,0,,,incumbent out,incumbent out,,
14743,pue-14.067,GUADALUPE VICTORIA,2010,0,21,21067,21068,pan-prd-pna,0,JOSE GUILLERMO FUENTES ORTIZ,Term-limited-p-won,,pri-pvem,0.020444444,0,1,1,,,incumbent out,incumbent out,,
14744,pue-15.067,GUADALUPE VICTORIA,2013,0,21,21067,21068,pan-prd-pna,0,ANTONIO RODRIGUEZ MENDOZA,Term-limited-p-lost,,pri-pvem,0.002601532,0,0,0,,,incumbent out,incumbent out,,
14745,pue-16.067,GUADALUPE VICTORIA,2018,0,21,21067,21068,pri,0,AURELIO FLORES SOLANO,Reelected,,pna,0.458170254,0,0,0,,,incumbent out,pri,,
14746,pue-17.067,GUADALUPE VICTORIA,2021,0,21,21067,21068,pan-pri-prd-psi,0,AURELIO FLORES SOLANO,Term-limited-p-lost,,morena,0.470285262,0,,,,,pri,incumbent out,,
14747,pue-18.067,GUADALUPE VICTORIA,2024,0,21,21067,21068,pvem-morena,1,MARIA FERNANDA ROMERO SOLIS,2027,JOSE ALEJANDRO NAVA ROMERO,pan-pri-prd,0.4698,,,,,,,,,
14752,pue-11.068,HERMENEGILDO GALEANA,2001,0,21,21068,21069,pan,0,LUIS ESPINDOLA GUTIERREZ,Term-limited-p-won,,pri,0.008950366,0,0,0,,,incumbent out,incumbent out,,
14753,pue-12.068,HERMENEGILDO GALEANA,2004,0,21,21068,21069,pan,0,ELOY MODESTO HERNANDEZ LOPEZ,Term-limited-p-lost,,pri,0.017088175,0,0,0,,,incumbent out,incumbent out,,
14754,pue-13.068,HERMENEGILDO GALEANA,2007,0,21,21068,21069,pri-pvem,0,SATURNINO DAGOBERTO HERNANDEZ LOPEZ,Term-limited-p-won,,pna,0.373856209,0,0,0,,,incumbent out,incumbent out,,
14755,pue-14.068,HERMENEGILDO GALEANA,2010,0,21,21068,21069,pri-pvem,0,BERNARDO GARRIDO HERNANDEZ,Term-limited-p-lost,,pan-prd-pna,0.064174271,0,0,0,,,incumbent out,incumbent out,,
14756,pue-15.068,HERMENEGILDO GALEANA,2013,0,21,21068,21069,pan-prd-pna,0,JOSE MANUEL RODRIGUEZ CRUZ,Term-limited-p-won,,pri-pvem,0.107946027,0,0,0,,,incumbent out,incumbent out,,
14757,pue-16.068,HERMENEGILDO GALEANA,2018,0,21,21068,21069,pan-prd,0,ANTONIO FRANCISCO PEREZ,Out-p-won,,pri,0.031581485,0,0,0,,,incumbent out,incumbent out,,
14758,pue-17.068,HERMENEGILDO GALEANA,2021,0,21,21068,21069,pan,0,JOSE MANUEL RODRIGUEZ CRUZ,Reelected,CLAUDIO MUÑOZ VALLEJO,pri-prd,0.016869728,0,,,,,incumbent out,2024,,
14759,pue-18.068,HERMENEGILDO GALEANA,2024,0,21,21068,21069,pan-pri-prd,0,JOSE MANUEL RODRIGUEZ CRUZ,Term-limited-2027,CRISTINA SANCHEZ PEREZ,pt-morena,0.0495,,,,,,,,,
14764,pue-11.069,HUAQUECHULA,2001,0,21,21069,21070,pri,0,GILBERTO CASTILLO JIMENEZ,Term-limited-p-lost,,conve,0.153366773,0,0,0,,,incumbent out,incumbent out,,
14765,pue-12.069,HUAQUECHULA,2004,0,21,21069,21070,pan,0,LUCIO FLORES POPOCA,Term-limited-p-lost,,pri,0.105093834,0,0,0,,,incumbent out,incumbent out,,
14766,pue-13.069,HUAQUECHULA,2007,0,21,21069,21070,pri-pvem,0,RAMON FELIPE LOPEZ CAMPOS,Term-limited-p-won,,pan,0.139093656,0,0,0,,,incumbent out,incumbent out,,
14767,pue-14.069,HUAQUECHULA,2010,0,21,21069,21070,pri-pvem,0,RAUL MARIN ESPINOZA,Term-limited-p-lost,,pan-prd-pna,0.13440805,0,0,0,,,incumbent out,incumbent out,,
14768,pue-15.069,HUAQUECHULA,2013,0,21,21069,21070,pan-prd-pna,0,EDWIN MORA CABALLERO,Term-limited-p-lost,,pri-pvem,0.024936816,0,0,0,,,incumbent out,incumbent out,,
14769,pue-16.069,HUAQUECHULA,2018,0,21,21069,21070,pt-morena-pes,0,CIRO GAVILAN DOMINGUEZ,Reran-beaten,,pri,0.052100069,0,0,0,,,incumbent out,pt,CIRO GAVILAN RODRIGUEZ,
14770,pue-17.069,HUAQUECHULA,2021,0,21,21069,21070,pri-prd,0,RAUL MARIN ESPINOZA,Reelected,,psi,0.077943357,0,,,,,pt,2024,,
14771,pue-18.069,HUAQUECHULA,2024,0,21,21069,21070,pan-pri-prd-psi,0,RAUL MARIN ESPINOZA,Term-limited-2027,SAUL ALONSO HERNANDEZ,morena,0.033,,,,,,,,,
14776,pue-11.070,HUATLATLAUCA,2001,0,21,21070,21071,pri,0,NICOLAS TECUAUTZIN CAMPOS,Term-limited-p-lost,,pan,0.090500864,0,0,0,,,incumbent out,incumbent out,,
14777,pue-12.070,HUATLATLAUCA,2004,0,21,21070,21071,pan,0,EPITACIO OSORIO CUAUTLE,Term-limited-p-lost,,pri,0.017335766,0,0,0,,,incumbent out,incumbent out,,
14778,pue-13.070,HUATLATLAUCA,2007,0,21,21070,21071,pri-pvem,0,BALDOMERO SANGUINO HERRERA,Term-limited-p-won,,pan,0.138062997,0,0,0,,,incumbent out,incumbent out,,
14779,pue-14.070,HUATLATLAUCA,2010,0,21,21070,21071,pri-pvem,0,FLAVIO HERRERA AGUILAR,Term-limited-p-lost,,pan-prd-pna,0.056727057,0,0,0,,,incumbent out,incumbent out,,
14780,pue-15.070,HUATLATLAUCA,2013,0,21,21070,21071,pan-prd-pna,0,NICOLAS TECUAUTZIN CAMPOS,Term-limited-p-won,,pt,0.188953488,0,1,1,,,incumbent out,incumbent out,,
14781,pue-16.070,HUATLATLAUCA,2018,0,21,21070,21071,pan,0,GILBERTO LOPEZ BAEZ,Out-p-lost,,prd-mc-pcpp,0.047710976,0,0,0,,,incumbent out,incumbent out,,
